UNIVERSITYID,University Name,Acceptance Rate,Average SAT,Niche Academic Grade,Niche Athletic Grade,Niche Campus Grade,Niche Campus Food Grade,Niche Diversity Grade,Niche Dorms Grade,Niche Location Grade,Niche Overall Grade,Niche Party Scene Grade,Niche Professors Grade,Niche Safety Grade,Niche Student Life Grade,Niche Value Grade,QS World Rankings,Undergraduate Population,2023 US News Ranking,2022 QS World Ranking,In-State Tuition,Out-of-State Tuition
1,American University,64,1360,96,86,82,72,96,76,96,92,86,92,89,86,89,651,8463,72,651,51361,51361
2,Auburn University,71,1260,92,100,96,96,86,86,92,96,96,92,86,100,92,801,24931,97,801,11492,31124
3,Baylor University,57,1255,96,100,92,89,92,89,76,92,86,92,79,96,89,1001,15191,77,1001,47364,47364
4,Binghamton University,44,1390,92,86,82,82,96,89,76,92,100,92,79,92,96,801,14307,83,801,10201,28791
5,Boston College,19,1475,100,100,96,86,96,82,96,100,92,100,89,100,100,494,9532,36,494,60858,60858
6,Boston University,19,1440,100,96,86,92,100,82,100,100,96,100,86,100,96,485,18229,41,485,58560,58560
7,Brandeis University,39,1450,100,76,65,72,100,69,82,96,76,100,86,76,89,455,3591,44,455,60288,60288
8,Brigham Young University,59,1330,96,92,96,96,82,89,82,96,79,89,92,96,96,1001,31633,89,1001,5970,5970
9,Brown University,6,1515,100,86,96,89,100,86,100,100,92,100,89,100,100,451,7349,13,451,60696,60696
10,California Institute of Technology,4,1555,100,79,86,82,96,89,92,100,86,100,82,92,100,6,987,9,6,56862,56862
11,Carnegie Mellon University,14,1520,100,76,82,82,100,82,96,100,86,100,86,92,100,53,7365,22,53,60219,60219
12,Case Western Reserve University,30,1470,100,79,76,76,100,76,82,100,79,100,76,86,96,161,5792,44,161,53890,53890
13,Catholic University of America,86,1255,89,86,86,72,92,82,89,89,89,92,86,92,92,3000,2929,176,3000,49884,49884
14,Clark University,48,1310,96,76,76,79,96,82,82,92,82,96,86,82,89,751,2305,97,751,46610,46610
15,Clemson University,49,1320,96,100,92,86,89,86,82,96,96,96,92,100,96,801,21653,77,801,15116,38548
16,Colorado School of Mines,57,1390,96,86,79,72,92,86,89,96,79,96,86,86,100,461,5491,89,461,19062,40372
17,Columbia University,6,1515,100,82,96,96,100,92,100,100,92,100,86,100,100,19,8148,18,19,64380,64380
18,Cornell University,9,1505,100,86,96,100,100,82,82,100,96,100,82,96,100,21,15503,17,21,61618,61618
19,Dartmouth College,6,1500,100,89,92,92,100,92,86,100,96,100,86,100,100,191,4556,12,191,61949,61949
20,Drexel University,83,1310,92,89,76,76,100,72,100,92,89,96,86,89,92,651,12834,105,651,55305,55305
21,Duke University,6,1525,100,100,96,100,100,92,82,100,96,100,82,100,100,52,6883,10,52,60400,60400
22,Emory University,13,1480,100,76,96,86,100,92,92,100,86,100,82,92,96,160,7130,22,160,53804,53804
23,George Washington University,50,1400,96,89,89,92,100,86,100,96,96,96,82,96,96,355,11502,62,355,59180,59180
24,Georgetown University,12,1480,100,96,86,76,100,76,100,100,96,100,82,100,100,248,7598,22,248,59448,59448
25,Georgia Institute of Technology,18,1450,100,96,89,79,100,76,100,100,92,100,86,100,100,88,17447,44,88,12682,33794
26,Harvard University,4,1530,100,92,96,89,100,96,100,100,92,100,86,100,100,5,7153,3,5,69607,69607
27,Howard University,35,1185,89,89,76,79,96,69,100,89,100,89,76,96,86,651,8964,89,651,29000,29000
28,Indiana University,85,1270,92,100,96,92,96,82,92,96,100,96,79,100,92,311,34253,72,311,11220,39140
29,Johns Hopkins University,8,1540,100,79,89,86,100,86,89,100,86,100,86,92,100,25,6132,7,25,57010,57010
30,Lehigh University,46,1407,100,89,82,82,96,79,79,100,100,100,82,96,100,531,5451,51,531,54790,54790
31,Loyola University of Chicago,77,1260,92,92,92,82,96,86,92,89,82,89,86,89,86,801,11819,115,801,45543,45543
32,Marquette University,86,1270,92,96,79,82,92,82,89,92,92,92,76,89,92,1001,7660,83,1001,44580,44580
33,Massachusetts Institute of Technology,4,1545,100,82,92,82,100,96,100,100,96,100,86,100,100,1,4638,2,1,53790,53790
34,Miami University of Ohio,89,1265,89,89,96,89,89,89,86,89,100,89,82,96,89,1001,16977,105,1001,17868,35229
35,New York University,13,1510,100,76,89,92,100,82,100,100,96,100,89,96,92,42,28772,25,42,54880,54880
36,North Carolina State University,47,1355,96,96,92,92,92,86,92,96,96,96,82,100,96,300,26505,72,300,9101,29220
37,Northeastern University,18,1490,100,92,92,86,100,86,100,100,89,100,86,100,96,342,15747,44,342,53506,53506
38,Northwestern University,7,1510,100,96,96,86,100,86,92,100,92,100,86,100,100,342,8494,10,342,58701,58701
39,Ohio State University,57,1345,96,100,96,100,96,86,96,100,100,100,72,100,96,120,47106,49,120,11518,35556
40,Ohio University,89,1180,89,92,96,92,89,86,89,92,100,96,82,100,89,1001,18031,182,1001,12612,22406
41,Pacific University,79,1250,89,89,82,86,96,79,72,89,86,92,82,82,92,1001,3306,194,1001,46130,46130
42,Pennsylvania State University,58,1300,96,100,96,92,96,86,92,100,100,100,86,100,96,96,40600,77,96,18450,34272
43,Pepperdine University,53,1350,96,89,89,79,96,82,82,96,76,92,96,86,89,3000,3708,55,3000,57960,57960
44,Princeton University,4,1515,100,89,96,96,100,92,89,100,89,100,86,100,100,20,5321,1,20,52800,52800
45,Purdue University,69,1310,96,96,89,96,96,86,79,100,92,100,89,96,100,116,37101,51,116,10332,29134
46,Rensselaer Polytechnic Institute,53,1440,96,79,72,79,96,76,79,96,86,96,79,82,96,431,5614,51,431,57208,57208
47,Rice University,9,1530,100,92,100,100,100,100,100,100,96,100,86,100,100,94,4247,15,94,51107,51107
48,Rochester Institute of Technology,71,1360,92,79,72,79,96,72,86,89,82,89,89,86,92,1001,14000,105,1001,45656,45656
49,Rutgers University,68,1355,96,96,82,89,100,79,89,96,100,96,79,100,96,264,36152,115,264,14974,32094
50,Saint Louis University,70,1265,96,89,86,82,92,82,96,96,89,96,79,92,96,3000,7366,105,3000,46760,46760
51,San Diego State University,38,1225,89,96,96,96,100,79,96,92,100,82,86,100,92,1001,30865,151,1001,7720,19600
52,Southern Methodist University,53,1425,100,96,100,92,92,89,100,100,100,100,86,100,92,801,6908,72,801,56560,56560
53,Stanford University,4,1520,100,100,96,96,100,96,86,100,89,100,82,100,100,3,7645,3,3,56169,56169
54,Stevens Institute of Technology,53,1440,96,79,76,76,96,72,100,92,89,92,86,89,96,701,3932,83,701,54012,54012
55,Stony Brook University,48,1390,96,92,69,72,100,72,76,92,82,89,86,82,96,378,17999,77,378,9935,27845
56,Syracuse University,59,1310,92,100,86,76,96,86,79,92,100,96,79,100,86,651,14778,62,651,55604,55604
57,Texas A&M University,64,1260,96,100,92,96,92,82,86,100,96,100,82,100,96,168,56723,67,168,11234,38602
58,Texas Christian University,54,1240,96,96,100,86,92,100,92,96,96,92,82,100,89,3000,10222,89,3000,51660,51660
59,Tufts University,11,1495,100,82,89,96,100,86,96,100,86,96,89,96,100,275,6676,32,275,60862,60862
60,Tulane University,10,1435,100,89,89,82,92,79,100,100,100,100,79,100,89,436,7780,44,436,58850,58850
61,UCLA,11,1405,100,100,100,100,100,100,100,100,100,100,86,100,96,40,32119,20,40,13262,42994
62,University at Buffalo,70,1270,92,92,82,92,96,82,86,92,96,96,86,92,92,388,21467,89,388,10524,28194
63,University of Alabama,79,1220,92,100,100,96,92,96,86,92,100,92,82,100,89,801,31685,137,801,11620,30250
64,University of Arizona,87,1245,89,100,96,92,100,86,86,92,100,96,79,100,89,268,38528,105,268,12691,36755
65,University of California Berkeley,15,1410,100,96,86,82,100,66,96,100,96,96,72,100,100,32,32143,20,32,14312,44066
66,University of California Davis,49,1270,96,92,96,96,100,89,89,96,89,100,86,96,96,138,31657,38,138,14402,44156
67,University of California Irvine,29,1332,100,89,96,96,100,89,96,100,86,96,89,96,96,232,29449,34,232,13727,43481
68,University of California Riverside,66,1175,89,86,86,92,96,82,79,89,92,96,79,92,92,403,22866,89,403,14166,43920
69,University of California San Diego,34,1370,100,86,86,86,100,79,96,100,79,100,86,86,100,48,33343,34,48,14415,44169
70,University of California Santa Barbara,29,1355,96,92,96,89,96,89,86,96,100,96,79,100,96,146,23091,32,146,14418,44172
71,University of California Santa Cruz,59,1260,89,72,86,79,96,72,89,86,86,92,79,82,86,347,17864,83,347,14058,43812
72,University of Central Florida,36,1260,96,96,96,96,96,92,92,96,96,89,89,100,89,751,60075,137,751,6368,22467
73,University of Chicago,6,1545,100,76,92,89,100,96,82,100,86,100,79,96,100,10,7526,6,10,61548,61548
74,University of Cincinnati,85,1250,92,96,92,86,92,82,100,96,100,96,79,100,89,601,28910,151,601,11000,27334
75,University of Colorado,80,1280,92,96,96,96,92,82,96,92,100,96,79,100,89,251,30936,97,251,12466,38318
76,University of Connecticut,56,1330,96,100,82,86,100,79,79,96,96,92,86,96,96,373,18567,67,373,17834,40502
77,University of Dayton,81,1230,92,92,96,100,89,96,82,92,100,92,79,100,92,3000,8637,127,3000,45990,45990
78,University of Delaware,70,1260,92,96,92,89,92,82,89,96,100,96,82,100,96,531,18671,89,531,14710,36122
79,University of Denver,64,1295,92,96,86,76,92,79,96,89,96,92,82,89,86,751,5867,105,751,53775,53775
80,University of Florida,30,1385,100,100,92,89,96,79,86,100,100,100,82,100,100,173,34881,29,173,6380,28658
81,University of Illinois,60,1430,100,96,89,92,100,82,89,100,100,100,82,100,100,82,34779,41,82,16170,34146
82,University of Iowa,86,1240,92,96,92,96,92,89,96,96,100,96,79,100,96,455,21608,83,455,9606,31569
83,University of Kansas,92,1210,92,100,96,92,96,86,96,92,100,96,82,100,89,387,19158,121,387,11167,28035
84,University of Kentucky,94,1206,89,100,96,92,92,100,92,92,100,96,79,100,89,651,21900,137,651,12360,31380
85,University of Maryland,52,1420,96,100,82,82,96,72,79,96,100,96,82,100,96,158,30922,55,158,10399,36891
86,University of Massachusetts Amherst,66,1355,96,92,92,100,96,86,86,96,100,96,89,100,96,246,24231,67,246,16439,35710
87,University of Miami,28,1380,100,100,92,82,100,72,96,100,100,100,86,100,92,311,12089,55,311,54712,54712
88,University of Michigan,20,1445,100,100,96,96,100,89,96,100,100,100,86,100,100,23,32282,25,23,16856,52266
89,University of Minnesota,73,1400,96,100,92,86,96,79,100,96,100,96,76,100,96,186,36209,62,186,15027,33325
90,University of Mississippi,90,1125,92,100,100,96,92,92,96,96,100,96,92,100,92,801,16092,151,801,8828,24098
91,University of Missouri,77,1240,92,96,96,92,89,89,89,92,100,96,82,100,92,476,23706,121,476,10961,28348
92,University of Nebraska,81,1205,92,96,92,92,92,92,92,92,96,96,82,96,92,571,19552,151,571,9242,26784
93,University of New Hampshire,87,1205,89,92,96,96,89,89,86,89,96,92,86,96,89,801,11490,137,801,18932,36752
94,University of North Carolina at Chapel Hill,19,1415,100,100,92,92,96,82,92,100,96,100,82,100,100,100,19897,29,100,9943,36159
95,University of Notre Dame,15,1480,100,100,96,96,92,92,76,100,96,100,86,100,100,222,8973,18,222,58358,58358
96,University of Oklahoma,85,1245,92,100,96,96,96,76,86,96,100,89,86,100,92,651,21152,127,651,11538,27093
97,University of Oregon,93,1220,89,100,96,100,96,86,86,89,100,96,79,96,89,651,18602,105,651,12720,36615
98,University of Pennsylvania,6,1525,100,86,92,79,100,82,100,100,100,100,86,100,100,13,9962,7,13,60042,60042
99,University of Pittsburgh,67,1360,96,96,89,79,96,82,100,96,96,100,86,100,96,163,19980,62,163,19926,33322
100,University of Rochester,41,1445,100,79,82,82,100,72,86,100,86,100,76,89,96,154,6570,36,154,58241,58241
101,University of South Carolina,62,1255,92,100,96,96,92,89,89,96,100,92,82,100,92,601,26864,115,601,12688,34088
102,University of Southern California,13,1475,100,100,100,92,100,92,92,100,100,100,82,100,96,112,20790,25,112,60275,60275
103,University of Southern Florida,49,1240,96,92,92,92,100,89,86,96,92,96,86,100,92,581,33077,97,581,6410,17324
104,University of Tennessee,75,1255,92,100,86,86,89,76,89,92,100,96,79,96,89,541,25067,115,541,13006,31006
105,University of Texas Austin,29,1365,100,100,92,96,96,79,96,100,100,96,79,100,96,67,40916,38,67,11448,40032
106,University of Texas Dallas,87,1295,92,76,82,86,96,86,89,92,76,92,89,82,92,477,21445,151,477,13442,38168
107,University of Tulsa,75,1220,96,92,89,86,96,86,86,96,86,96,82,92,96,801,2728,137,801,43566,43566
108,University of Vermont,64,1325,89,89,86,79,86,79,96,89,92,92,86,92,92,651,11626,121,651,19062,42750
109,University of Virginia,21,1460,100,100,96,76,96,89,92,100,100,100,82,100,100,226,17299,25,226,18346,52852
110,University of Wisconsin at Madison,60,1425,100,100,96,96,96,86,96,100,100,100,86,100,100,75,35474,38,75,10742,38678
111,Vanderbilt University,7,1525,100,96,96,96,100,86,100,100,100,100,82,100,100,218,7111,13,218,52780,52780
112,Villanova University,25,1420,100,100,89,79,89,86,89,100,89,96,86,96,100,3000,7032,51,3000,54738,54738
113,Wake Forest University,25,1425,100,96,92,89,92,89,79,100,96,100,89,96,100,429,5472,29,429,59846,59846
114,Washington University in St. Louis,13,1530,100,89,100,100,100,100,96,100,92,100,89,100,100,107,8034,15,107,57386,57386
115,William and Mary University,37,1440,100,89,82,72,96,72,86,100,82,96,86,89,100,651,6543,41,651,23628,45638
116,Worcester Polytechnic Institute,60,1380,96,79,76,72,92,72,86,96,89,92,86,89,96,751,5224,67,751,54944,54944
117,Yale University,5,1530,100,92,96,92,100,100,96,100,100,100,79,100,100,14,6536,3,14,59950,59950
118,Yeshiva University,62,1325,96,76,86,89,92,89,92,92,82,96,96,92,82,252,2045,67,252,47550,47550
